Number of nodes: 841   cord x               cord y 
 784:                    0             0.964286
 785:            0.0357143             0.964286
 786:            0.0714286             0.964286
 787:             0.107143             0.964286
 788:             0.142857             0.964286
 789:             0.178571             0.964286
 790:             0.214286             0.964286
 791:                 0.25             0.964286
 792:             0.285714             0.964286
 793:             0.321429             0.964286
 794:             0.357143             0.964286
 795:             0.392857             0.964286
 796:             0.428571             0.964286
 797:             0.464286             0.964286
 798:                  0.5             0.964286
 799:             0.535714             0.964286
 800:             0.571429             0.964286
 801:             0.607143             0.964286
 802:             0.642857             0.964286
 803:             0.678571             0.964286
 804:             0.714286             0.964286
 805:                 0.75             0.964286
 806:             0.785714             0.964286
 807:             0.821429             0.964286
 808:             0.857143             0.964286
 809:             0.892857             0.964286
 810:             0.928571             0.964286
 811:             0.964286             0.964286
 812:                    1             0.964286
 813:                    0                    1
 814:            0.0357143                    1
 815:            0.0714286                    1
 816:             0.107143                    1
 817:             0.142857                    1
 818:             0.178571                    1
 819:             0.214286                    1
 820:                 0.25                    1
 821:             0.285714                    1
 822:             0.321429                    1
 823:             0.357143                    1
 824:             0.392857                    1
 825:             0.428571                    1
 826:             0.464286                    1
 827:                  0.5                    1
 828:             0.535714                    1
 829:             0.571429                    1
 830:             0.607143                    1
 831:             0.642857                    1
 832:             0.678571                    1
 833:             0.714286                    1
 834:                 0.75                    1
 835:             0.785714                    1
 836:             0.821429                    1
 837:             0.857143                    1
 838:             0.892857                    1
 839:             0.928571                    1
 840:             0.964286                    1
 841:                    1                    1
Number of triangles: 1568 vert1               vert2                vert3 
   1                    1                    2                   30
   2                   31                    2                   30
   3                    2                    3                   31
   4                   32                    3                   31
   5                    3                    4                   32
   6                   33                    4                   32
   7                    4                    5                   33
   8                   34                    5                   33
   9                    5                    6                   34
  10                   35                    6                   34
  11                    6                    7                   35
  12                   36                    7                   35
  13                    7                    8                   36
  14                   37                    8                   36
  15                    8                    9                   37
  16                   38                    9                   37
  17                    9                   10                   38
  18                   39                   10                   38
  19                   10                   11                   39
  20                   40                   11                   39
  21                   11                   12                   40
  22                   41                   12                   40
  23                   12                   13                   41
  24                   42                   13                   41
  25                   13                   14                   42
  26                   43                   14                   42
  27                   14                   15                   43
  28                   44                   15                   43
  29                   15                   16                   44
  30                   45                   16                   44
  31                   16                   17                   45
  32                   46                   17                   45
  33                   17                   18                   46
  34                   47                   18                   46
  35                   18                   19                   47
  36                   48                   19                   47
  37                   19                   20                   48
  38                   49                   20                   48
  39                   20                   21                   49
  40                   50                   21                   49
  41                   21                   22                   50
  42                   51                   22                   50
  43                   22                   23                   51
  44                   52                   23                   51
  45                   23                   24                   52
  46                   53                   24                   52
  47                   24                   25                   53
  48                   54                   25                   53
  49                   25                   26                   54
  50                   55                   26                   54
  51                   26                   27                   55
  52                   56                   27                   55
  53                   27                   28                   56
  54                   57                   28                   56
  55                   28                   29                   57
  56                   58                   29                   57
  57                   30                   31                   59
  58                   60                   31                   59
  59                   31                   32                   60
  60                   61                   32                   60
  61                   32                   33                   61
  62                   62                   33                   61
  63                   33                   34                   62
  64                   63                   34                   62
  65                   34                   35                   63
  66                   64                   35                   63
  67                   35                   36                   64
  68                   65                   36                   64
  69                   36                   37                   65
  70                   66                   37                   65
  71                   37                   38                   66
  72                   67                   38                   66
  73                   38                   39                   67
  74                   68                   39                   67
  75                   39                   40                   68
  76                   69                   40                   68
  77                   40                   41                   69
  78                   70                   41                   69
  79                   41                   42                   70
  80                   71                   42                   70
  81                   42                   43                   71
  82                   72                   43                   71
  83                   43                   44                   72
  84                   73                   44                   72
  85                   44                   45                   73
  86                   74                   45                   73
  87                   45                   46                   74
  88                   75                   46                   74
  89                   46                   47                   75
  90                   76                   47                   75
  91                   47                   48                   76
  92                   77                   48                   76
  93                   48                   49                   77
  94                   78                   49                   77
  95                   49                   50                   78
  96                   79                   50                   78
  97                   50                   51                   79
  98                   80                   51                   79
  99                   51                   52                   80
 100                   81                   52                   80
 101                   52                   53                   81
 102                   82                   53                   81
 103                   53                   54                   82
 104                   83                   54                   82
 105                   54                   55                   83
 106                   84                   55                   83
 107                   55                   56                   84
 108                   85                   56                   84
 109                   56                   57                   85
 110                   86                   57                   85
 111                   57                   58                   86
 112                   87                   58                   86
 113                   59                   60                   88
 114                   89                   60                   88
 115                   60                   61                   89
 116                   90                   61                   89
 117                   61                   62                   90
 118                   91                   62                   90
 119                   62                   63                   91
 120                   92                   63                   91
 121                   63                   64                   92
 122                   93                   64                   92
 123                   64                   65                   93
 124                   94                   65                   93
 125                   65                   66                   94
 126                   95                   66                   94
 127                   66                   67                   95
 128                   96                   67                   95
 129                   67                   68                   96
 130                   97                   68                   96
 131                   68                   69                   97
 132                   98                   69                   97
 133                   69                   70                   98
 134                   99                   70                   98
 135                   70                   71                   99
 136                  100                   71                   99
 137                   71                   72                  100
 138                  101                   72                  100
 139                   72                   73                  101
 140                  102                   73                  101
 141                   73                   74                  102
 142                  103                   74                  102
 143                   74                   75                  103
 144                  104                   75                  103
 145                   75                   76                  104
 146                  105                   76                  104
 147                   76                   77                  105
 148                  106                   77                  105
 149                   77                   78                  106
 150                  107                   78                  106
 151                   78                   79                  107
 152                  108                   79                  107
 153                   79                   80                  108
 154                  109                   80                  108
 155                   80                   81                  109
 156                  110                   81                  109
 157                   81                   82                  110
 158                  111                   82                  110
 159                   82                   83                  111
 160                  112                   83                  111
 161                   83                   84                  112
 162                  113                   84                  112
 163                   84                   85                  113
 164                  114                   85                  113
 165                   85                   86                  114
 166                  115                   86                  114
 167                   86                   87                  115
 168                  116                   87                  115
 169                   88                   89                  117
 170                  118                   89                  117
 171                   89                   90                  118
 172                  119                   90                  118
 173                   90                   91                  119
 174                  120                   91                  119
 175                   91                   92                  120
 176                  121                   92                  120
 177                   92                   93                  121
 178                  122                   93                  121
 179                   93                   94                  122
 180                  123                   94                  122
 181                   94                   95                  123
 182                  124                   95                  123
 183                   95                   96                  124
 184                  125                   96                  124
 185                   96                   97                  125
 186                  126                   97                  125
 187                   97                   98                  126
 188                  127                   98                  126
